kind,truth_persistent,truth_net,persist_plugin,persist_da,net_plugin,net_da
decline,True,True,False,False,True,True
dip,False,False,False,False,True,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,True,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,True,True,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,True,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
stable,False,False,False,False,True,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,True,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,False,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,False,True,False,False,False,False
stable,False,False,False,False,True,False
stable,False,True,False,False,False,False
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,True,True,False,True,False
stable,False,False,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,True,False,False,True,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,False,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,False,True,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,True,False
stable,False,False,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,False,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
stable,True,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,False,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,True,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,True,True,False,False,False,False
decline,True,True,False,False,True,True
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,False,False,True,True
stable,False,False,False,False,True,False
decline,True,True,True,True,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,False,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
stable,False,True,False,False,True,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,True,True,False,False,True,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,False,False,False,True,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,False,False,True,True
stable,False,True,False,False,True,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,True,False,False,True,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,True,True
dip,False,False,False,False,True,False
stable,False,True,False,False,True,False
dip,False,False,False,False,True,False
stable,True,True,False,False,False,False
stable,False,False,False,False,True,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,False,False,True,True
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
dip,False,False,False,False,False,False
decline,True,True,False,False,True,True
stable,True,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,False,False,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,True,False,False,True,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
stable,False,False,False,False,True,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,True,False,False,False,False
stable,False,False,False,False,False,False
stable,False,True,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
stable,False,False,False,False,False,False
decline,True,True,False,False,True,True
decline,True,True,True,True,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
dip,False,False,False,False,True,False
dip,False,False,False,False,False,False
stable,False,True,False,False,True,False
stable,False,True,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
dip,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
stable,False,False,False,False,False,False
decline,True,True,True,False,True,True
decline,True,True,True,False,True,True
